Id,Neighborhood,OverallCond,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenQual,GarageCond
1331,Somerst,5,2006,1588,1588,0,1588,3,Gd,TA
1332,CollgCr,5,1976,911,954,0,954,3,TA,TA
1333,Edwards,6,1938,816,816,0,816,2,TA,Fa
1334,IDOTRR,6,1938,803,803,557,1360,2,Gd,TA
1335,BrDale,6,1970,765,765,600,1365,3,TA,TA
1336,NWAmes,5,1977,1350,1334,0,1334,2,TA,TA
1337,NWAmes,5,1973,1656,1656,0,1656,4,TA,TA
1338,OldTown,4,1941,693,693,0,693,2,Fa,
1339,CollgCr,5,2002,916,920,941,1861,3,Gd,TA
1340,CollgCr,7,1972,864,864,0,864,3,TA,TA
1341,NAmes,5,1971,858,872,0,872,3,TA,TA
1342,SawyerW,5,2003,1114,1114,0,1114,3,Gd,TA
1343,CollgCr,5,2002,1284,1284,885,2169,3,Gd,TA
1344,Crawfor,6,1928,896,1172,741,1913,3,TA,Fa
1345,CollgCr,5,2006,728,728,728,1456,3,Gd,TA
1346,OldTown,4,1920,960,960,0,960,2,Fa,TA
1347,NWAmes,7,1968,1568,2156,0,2156,3,TA,TA
1348,Timber,5,2006,1732,1776,0,1776,3,Gd,TA
1349,SawyerW,5,1998,1482,1494,0,1494,3,Gd,TA
1350,OldTown,5,1872,684,938,1215,2358,4,TA,
1351,NAmes,5,1969,1248,1338,1296,2634,6,TA,TA
1352,NAmes,6,1962,858,858,858,1716,4,TA,TA
1353,BrkSide,9,1937,698,786,390,1176,2,TA,TA
1354,NoRidge,5,1995,2033,2053,1185,3238,4,Gd,TA
1355,CollgCr,5,2000,992,992,873,1865,3,Gd,TA
1356,NWAmes,6,1968,570,1222,698,1920,4,Gd,TA
1357,NAmes,5,1966,864,892,0,892,3,TA,TA
1358,NAmes,6,1971,1078,1078,0,1078,3,TA,TA
1359,Somerst,5,2000,756,769,804,1573,3,Gd,TA
1360,NridgHt,5,2004,1980,1980,0,1980,3,Ex,TA
1361,SWISU,6,1921,612,990,1611,2601,4,TA,TA
1362,StoneBr,5,2005,1530,1530,0,1530,3,Gd,TA
1363,NAmes,4,1920,715,1281,457,1738,4,TA,TA
1364,Gilbert,5,2006,616,616,796,1412,3,Gd,TA
1365,Somerst,5,2005,600,520,600,1200,2,Gd,TA
1366,Somerst,5,2000,814,814,860,1674,3,Gd,TA
1367,CollgCr,5,1999,873,882,908,1790,3,Gd,TA
1368,MeadowV,6,1977,757,925,550,1475,4,TA,TA
1369,CollgCr,5,2003,848,848,0,848,1,Gd,TA
1370,CollgCr,5,2003,1657,1668,0,1668,3,Gd,TA
1371,OldTown,6,1920,840,840,534,1374,2,TA,TA
1372,NAmes,6,1955,992,1661,0,1661,3,Gd,TA
1373,CollgCr,6,1998,1108,1108,989,2097,3,Gd,TA
1374,NoRidge,5,2001,2633,2633,0,2633,2,Ex,TA
1375,Somerst,5,2005,1026,1026,932,1958,3,Gd,TA
1376,Timber,5,2007,1571,1571,0,1571,3,Gd,TA
1377,SWISU,5,1930,768,790,0,790,2,TA,TA
1378,Edwards,5,1941,984,984,620,1604,3,TA,TA
1379,BrDale,5,1973,483,483,504,987,2,TA,TA
1380,Timber,5,2006,384,754,640,1394,3,Gd,TA
1381,Edwards,3,1914,864,864,0,864,2,TA,Fa
1382,NAmes,7,1970,1205,2117,0,2117,4,TA,TA
1383,OldTown,7,1920,596,998,764,1762,4,Gd,TA
1384,Sawyer,7,1918,816,1416,0,1416,3,Gd,TA
1385,Edwards,5,1939,560,698,560,1258,2,TA,TA
1386,IDOTRR,8,1922,796,796,358,1154,3,Gd,TA
1387,NWAmes,5,1978,1392,1392,1392,2784,5,Gd,TA
1388,OldTown,7,1916,714,1664,862,2526,5,Gd,TA
1389,Gilbert,5,2006,1746,1746,0,1746,3,Ex,TA
1390,BrkSide,6,1941,735,869,349,1218,3,TA,TA
1391,CollgCr,5,2000,1525,1525,0,1525,3,Gd,TA
1392,NAmes,5,1967,1584,1584,0,1584,4,TA,TA
1393,NAmes,5,1967,864,900,0,900,3,TA,TA
1394,OldTown,7,1905,482,1221,691,1912,3,TA,TA
1395,Blmngtn,5,2006,1356,1500,0,1500,2,Gd,TA
1396,Timber,5,2005,1094,1133,1349,2482,4,Gd,TA
1397,Timber,5,1948,747,1687,0,1687,3,TA,TA
1398,BrkSide,8,1920,939,939,574,1513,4,TA,Fa
1399,NAmes,4,1950,1208,1136,768,1904,3,TA,TA
1400,SWISU,6,1925,976,1160,448,1608,3,Gd,TA
1401,BrkSide,7,1929,862,950,208,1158,3,TA,TA
1402,Gilbert,5,2004,839,864,729,1593,3,TA,TA
1403,CollgCr,5,2006,1286,1294,0,1294,2,Gd,TA
1404,Somerst,5,2007,1485,1464,0,1464,3,Gd,TA
1405,OldTown,4,1915,672,694,520,1214,3,TA,TA
1406,Crawfor,5,2004,1594,1646,0,1646,2,Gd,TA
1407,CollgCr,7,1972,768,768,0,768,2,TA,TA
1408,Mitchel,5,1985,833,833,0,833,3,TA,
1409,OldTown,7,1910,622,741,622,1363,3,TA,TA
1410,NWAmes,6,1986,791,1236,857,2093,3,TA,TA
1411,CollgCr,5,2001,944,944,896,1840,3,Gd,TA
1412,NAmes,8,1950,856,1112,556,1668,3,TA,TA
1413,NAmes,5,1949,0,1040,0,1040,2,TA,TA
1414,SawyerW,5,2005,1844,1844,0,1844,2,Gd,TA
1415,BrkSide,7,1923,833,1053,795,1848,4,Gd,TA
1416,Blmngtn,5,2007,1386,1569,0,1569,1,Gd,TA
1417,OldTown,6,1885,777,1246,1044,2290,4,TA,TA
1418,NoRidge,5,1998,1284,1310,1140,2450,3,Gd,TA
1419,NAmes,5,1963,1144,1144,0,1144,3,TA,TA
1420,Crawfor,5,1969,1844,1844,0,1844,3,Gd,TA
1421,NWAmes,6,1968,708,708,708,1416,3,TA,TA
1422,NPkVill,5,1977,1069,1069,0,1069,2,TA,TA
1423,CollgCr,5,2003,848,848,0,848,1,Gd,TA
1424,Edwards,7,1966,697,1575,626,2201,4,Gd,Gd
1425,NAmes,5,1958,1024,1344,0,1344,2,TA,TA
1426,NAmes,6,1959,1252,1252,0,1252,3,Gd,TA
1427,NoRidge,5,1994,1223,1223,904,2127,3,Gd,TA
1428,NAmes,6,1945,913,1048,510,1558,3,TA,TA
1429,OldTown,7,1940,788,804,0,804,2,Gd,TA
1430,NWAmes,7,1981,1440,1440,0,1440,3,Gd,TA
1431,Gilbert,5,2005,732,734,1104,1838,4,TA,TA
1432,NPkVill,6,1976,958,958,0,958,2,TA,TA
1433,OldTown,6,1927,656,968,0,968,4,TA,Fa
1434,Gilbert,5,2000,936,962,830,1792,3,TA,TA
1435,Mitchel,5,1977,1126,1126,0,1126,3,TA,TA
1436,NAmes,9,1962,1319,1537,0,1537,3,Gd,TA
1437,NAmes,6,1971,864,864,0,864,3,TA,TA
1438,NridgHt,5,2008,1932,1932,0,1932,2,Ex,TA
1439,OldTown,7,1957,912,1236,0,1236,2,TA,TA
1440,NWAmes,6,1979,539,1040,685,1725,3,TA,TA
1441,Crawfor,7,1922,588,1423,748,2555,3,TA,TA
1442,CollgCr,5,2004,848,848,0,848,1,Gd,TA
1443,Somerst,5,2008,1017,1026,981,2007,3,Ex,TA
1444,BrkSide,6,1916,952,952,0,952,2,Fa,Po
1445,CollgCr,5,2004,1422,1422,0,1422,3,Gd,TA
1446,Sawyer,5,1966,814,913,0,913,3,TA,TA
1447,Mitchel,7,1962,1188,1188,0,1188,3,TA,TA
1448,CollgCr,5,1995,1220,1220,870,2090,3,Gd,TA
1449,Edwards,7,1910,560,796,550,1346,2,TA,TA
1450,MeadowV,7,1970,630,630,0,630,1,Ex,
1451,NAmes,5,1974,896,896,896,1792,4,TA,
1452,Somerst,5,2008,1573,1578,0,1578,3,Ex,TA
1453,Edwards,5,2005,547,1072,0,1072,2,TA,TA
1454,Mitchel,5,2006,1140,1140,0,1140,3,TA,
1455,Somerst,5,2004,1221,1221,0,1221,2,Gd,TA
1456,Gilbert,5,1999,953,953,694,1647,3,TA,TA
1457,NWAmes,6,1978,1542,2073,0,2073,3,TA,TA
1458,Crawfor,9,1941,1152,1188,1152,2340,4,Gd,TA
1459,NAmes,6,1950,1078,1078,0,1078,2,Gd,TA
1460,Edwards,6,1965,1256,1256,0,1256,3,TA,TA
